TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.SpeciesProp.unmanaged.HW,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.managed.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_CW_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_CW_YC_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_DR_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_FDC_HW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_BA_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.StemsPerHa.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Yield.managed.CW,31,false,false,false,1.0,false,false
feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
feature.Yield.managed.HW,31,false,false,false,1.0,false,false
feature.Yield.managed.Total,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.CW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.FDC,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.HW,31,false,false,false,1.0,false,false
feature.Yield.unmanaged.Total,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.even.product.Yield.managed.Total,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.CW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.FDC,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.HW,31,false,false,false,1.0,false,false
flow.ndy.feature.Yield.managed.Total,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.CW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.FDC.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.HW.CC,31,false,false,false,1.0,false,false
product.HarvestedVolume.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_D.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_F.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_H.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_I.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_J.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_U.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_X.managed.Total.CC,31,false,false,false,1.0,false,false
product.Logs_Grade_Y.managed.Total.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.QMD.managed.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.QMDNumerator.managed.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.immature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.mature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.overmature.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.regenerating.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Seral.area.young.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.CW,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.FDC,31,false,false,false,1.0,false,false
product.SpeciesProp.managed.HW,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_CW_HW_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_DR_HW_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_FDC_HW_H.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_FDC_HW_L.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_FDC_HW_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_BA_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_CW_H.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_CW_L.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_CW_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_FDC_H.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_FDC_L.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CWHvm_HW_SS_M.CC,31,false,false,false,1.0,false,false
product.Treated.managed.CC,31,false,false,false,1.0,false,false
product.Yield.managed.CW,31,false,false,false,1.0,false,false
product.Yield.managed.FDC,31,false,false,false,1.0,false,false
product.Yield.managed.HW,31,false,false,false,1.0,false,false
product.Yield.managed.Total,31,true,true,true,1.0,true,false
value.grevenue.CW,31,false,false,false,1.0,false,false
value.grevenue.FDC,31,false,false,false,1.0,false,false
value.grevenue.HW,31,false,false,false,1.0,false,false
value.grevenue.total,31,false,false,false,1.0,false,false
value.harvcost.total,31,false,false,false,1.0,false,false
value.nrevenue.total,31,false,false,false,1.0,false,false
value.stumpage.CW,31,false,false,false,1.0,false,false
value.stumpage.FDC,31,false,false,false,1.0,false,false
value.stumpage.HW,31,false,false,false,1.0,false,false
value.stumpage.total,31,false,false,false,1.0,false,false
Bike1_GrowingStock,31,false,false,false,1.0,false,false
Bike1_HarvestVolume,31,false,false,false,1.0,false,false
Bike2_GrowingStock,31,false,false,false,1.0,false,false
Bike2_HarvestVolume,31,false,false,false,1.0,false,false
Bike3_GrowingStock,31,false,false,false,1.0,false,false
Bike3_HarvestVolume,31,false,false,false,1.0,false,false
BikeTotal_GrowingStock,31,false,false,false,1.0,false,false
BikeTotal_HarvestVolume,31,true,false,true,1.0,false,false
