CURVE,X,Y
1195,340,1
2594,79,0
2594,80,0.50909
1744,79,0
1744,80,0.57815
1695,79,0
1695,80,0.6
1695,90,0.7
1695,150,0.7
1695,160,0.6
1695,180,0.6
1695,190,0.5
1695,240,0.5
1695,250,0.4
1699,79,0
1699,80,0.6
1699,130,0.6
1699,140,0.5
1699,160,0.5
1699,170,0.4
1699,210,0.4
1699,220,0.3
1667,79,0
1667,80,0.6
1667,110,0.9
1667,120,0.9
1667,130,1
1541,79,0
1541,80,0.572
2585,79,0
2585,80,0.6
2585,90,0.5
2585,100,0.5
2585,110,0.6
2585,120,0.6
2585,130,0.5
2585,140,0.5
2585,150,0.6
2585,170,0.4
2585,180,0.5
2585,220,0.5
2585,230,0.6
2585,250,0.4
2585,260,0.6
2585,270,0.5
2585,280,0.5
2585,290,0.6
2585,310,0.4
2585,320,0.5
2585,340,0.5
2585,350,0.4
1624,79,0
1624,80,0.6
1624,90,0.4
1624,100,0.5
1624,110,0.5
1624,120,0.6
1624,140,0.6
1624,150,0.5
1624,160,0.6
1624,170,0.6
1624,180,0.5
1624,190,0.6
1624,210,0.6
1624,220,0.5
1624,250,0.5
1624,260,0.6
