Name,Title,Class,Source,Extensions
objective,Active target objective summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
shortage,Active target shortage summary,ca.spatial.patchworks.ShortageReport,Target table,html;csv
feature_Seral_CWHvm_CW_PLC_M_young,Targets for feature.Seral.CWHvm_CW_PLC_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_YC_M_immature,Targets for feature.Seral.CWHvm_CW_YC_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_YC_M_mature,Targets for feature.Seral.CWHvm_CW_YC_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_YC_M_overmature,Targets for feature.Seral.CWHvm_CW_YC_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_YC_M_regenerating,Targets for feature.Seral.CWHvm_CW_YC_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_CW_YC_M_young,Targets for feature.Seral.CWHvm_CW_YC_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_DR_HW_M_immature,Targets for feature.Seral.CWHvm_DR_HW_M.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_DR_HW_M_mature,Targets for feature.Seral.CWHvm_DR_HW_M.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_DR_HW_M_overmature,Targets for feature.Seral.CWHvm_DR_HW_M.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_DR_HW_M_regenerating,Targets for feature.Seral.CWHvm_DR_HW_M.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_DR_HW_M_young,Targets for feature.Seral.CWHvm_DR_HW_M.young,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_H_immature,Targets for feature.Seral.CWHvm_FDC_HW_H.immature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_H_mature,Targets for feature.Seral.CWHvm_FDC_HW_H.mature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_H_overmature,Targets for feature.Seral.CWHvm_FDC_HW_H.overmature,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
feature_Seral_CWHvm_FDC_HW_H_regenerating,Targets for feature.Seral.CWHvm_FDC_HW_H.regenerating,ca.spatial.reportwriter.TargetLimitReport,Target table,html;csv;png
