CURVE,X,Y
1457,90,0.4
1457,110,0.6
1457,120,0.6
1457,130,0.5
1457,140,0.5
1457,150,0.4
1457,180,0.4
1457,190,0.3
1457,250,0.3
1457,260,0.2
1511,79,0
1511,80,0.2
1511,110,0.2
1511,120,0.3
1511,130,0.2
1511,170,0.2
1511,180,0
1511,190,0
1511,200,0.2
1511,210,0.2
1511,220,0
1511,230,0
1511,240,0.2
1511,250,0
1511,260,0.1
1511,270,0
1511,320,0
1511,330,0.3
1511,340,0
2496,79,0
2496,80,0.2
2496,100,0.2
2496,110,0.3
2496,130,0.1
2496,150,0.3
2496,170,0.1
2496,180,0.3
2496,190,0.1
2496,200,0.2
2496,210,0.2
2496,220,0.3
2496,230,0.2
2496,250,0.2
2496,260,0.3
2496,280,0.1
2496,290,0.2
2496,310,0.2
2496,320,0.3
2496,330,0.2
2496,340,0.2
2496,350,0.1
1507,79,0
1507,80,0.2
1507,100,0.2
1507,110,0.1
1507,210,0.1
1507,220,0
1507,230,0.1
1507,240,0.1
1507,250,0
1507,260,0
1507,270,0.1
1507,320,0.1
1507,330,0
1507,340,0.1
1560,79,0
1560,80,0.2
1560,110,0.5
1560,120,0.5
1560,130,0.4
1560,140,0.4
1560,150,0.3
1560,200,0.3
1560,210,0.2
1456,79,0
1456,80,0.2
1456,110,0.5
1456,130,0.5
1456,140,0.4
1456,150,0.4
1456,160,0.3
1456,210,0.3
1456,220,0.2
1453,79,0
1453,80,0.2
1453,110,0.5
1453,130,0.5
1453,140,0.4
1453,160,0.4
1453,170,0.3
1453,230,0.3
1453,240,0.2
1449,79,0
1449,80,0.2
1449,90,0.7
1449,110,1.1
1449,120,1.9
1449,130,2.6
1449,150,3.6
1449,190,4.8
1449,200,4.9
1449,210,5.2
1449,220,5.2
1449,240,5.6
1449,250,5.7
1449,260,5.6
1449,270,5.8
1449,310,6.2
1449,320,6.1
1449,340,6.1
1449,350,6.2
1193,79,0
1193,80,0.2
1193,90,0.3
1193,100,0.2
1193,110,0.4
1193,130,0.4
1193,140,0.3
1193,150,0.4
1193,170,0.2
1193,180,0.3
1193,190,0.2
1193,210,0.2
1193,220,0.3
1193,240,0.3
1193,250,0.1
1193,260,0.2
1193,290,0.2
1193,300,0.3
1193,310,0.1
1193,330,0.1
1193,340,0
1193,350,0.1
2150,79,0
2150,80,0.1
2150,90,0.2
2150,100,0.1
2150,110,0.2
2150,120,0.1
2150,130,0.1
2150,140,0.2
2150,150,0.1
2150,160,0.2
2150,170,0.2
2150,180,0.1
2150,190,0.1
2150,200,0.2
2150,210,0.1
2150,220,0.1
2150,230,0.2
2150,240,0.1
2150,280,0.1
2150,290,0.2
2150,300,0.1
2150,330,0.1
2150,340,0.2
2150,350,0.1
1676,79,0
1676,80,0.1
1676,90,0.3
1676,100,0.4
1676,120,0.4
1676,130,0.5
1676,140,0.3
1676,180,0.3
1676,190,0.2
1676,200,0.2
1676,220,0.4
1676,230,0.3
1676,250,0.3
1676,260,0.2
1676,270,0.3
1676,290,0.1
1676,300,0.1
1676,310,0.2
1676,320,0.2
1676,330,0.1
1474,79,0
1474,80,0.1
1474,110,0.1
1474,120,0
1474,130,0.1
1474,150,0.1
1474,160,0
1718,79,0
1718,80,0.1
1718,100,0.1
1718,110,0
1718,140,0
1718,150,0.1
1718,190,0.1
1718,200,0
1718,230,0
1718,240,0.1
1718,250,0
1718,280,0
1718,290,0.1
1718,300,0
1718,310,0
1718,320,0.1
1718,330,0.1
1718,340,0
1718,350,0.1
1690,79,0
1690,80,0.1
1690,100,0.1
1690,110,0
1690,120,0.1
1690,140,0.1
1690,150,0
1475,79,0
1475,80,0.1
1475,100,0.1
1475,110,0
1475,120,0.1
1475,130,0.1
1475,140,0
1475,150,0.1
1475,170,0.1
1475,180,0
1207,79,0
1207,80,0.1
1207,100,0.1
1207,110,0
1207,120,0.1
1207,130,0
2567,79,0
2567,80,0.1
2567,200,0.1
2567,210,0
2567,220,0.1
2567,230,0
2567,240,0.1
1717,79,0
1717,80,0.1
1717,130,0.1
1717,140,0
1717,170,0
1717,180,0.1
1717,200,0.1
1717,210,0
1717,220,0.1
1717,230,0
1717,240,0.1
1717,250,0
1717,260,0
1717,270,0.2
1717,290,0
1717,300,0
1717,310,0.2
1717,320,0.2
1717,330,0.1
1717,340,0.1
1717,350,0.2
1471,79,0
1471,80,0.1
1471,120,0.1
1471,130,0
1471,140,0.1
1471,150,0.1
1471,160,0
1675,79,0
1675,80,0.1
1675,110,0.4
1675,150,0.4
1675,160,0.3
1675,200,0.3
1675,210,0.2
1192,79,0
1192,80,0.1
1192,110,0.4
1192,140,0.4
1192,150,0.3
1192,190,0.3
1192,200,0.2
1575,79,0
1575,80,0.1
1575,90,0.1
1575,100,0
1575,110,0.1
1575,120,0
1575,130,0.1
1575,140,0.1
1575,150,0
1236,79,0
1236,80,0.1
1236,90,0.1
1236,100,0
1236,140,0
1236,150,0.1
1236,180,0.1
1236,190,0
1236,200,0
1236,210,0.1
1236,230,0.1
1236,240,0
1236,270,0
1236,280,0.1
1236,320,0.1
1236,330,0
1448,79,0
1448,80,0.1
1448,90,0.1
1448,120,0.4
1448,140,0.8
1448,150,0.9
1448,160,0.9
1448,180,1.1
1448,190,1.1
1448,200,1.2
1448,210,1.2
1448,220,1.3
1448,250,1.3
1448,260,1.4
1448,310,1.4
1448,320,1.5
1444,79,0
1444,80,0.1
1444,90,0.1
1444,120,0.4
1444,130,0.6
1444,160,0.9
1444,170,0.9
1444,180,1
1444,190,1
1444,200,1.1
1444,220,1.1
1444,230,1.2
1444,260,1.2
1444,270,1.3
1670,79,0
1670,80,0.1
1670,90,0.1
1670,100,0.2
1670,110,0.2
1670,120,0.3
1670,140,0.3
1670,150,0.2
1670,210,0.2
1670,220,0.1
1551,79,0
1551,80,0.1
1551,90,0.1
1551,100,0.2
1551,110,0.2
1551,130,0.6
1551,160,0.9
1551,170,0.9
1551,180,1
1551,190,1
1551,200,1.1
1551,220,1.1
1551,230,1.2
1551,260,1.2
1551,270,1.3
1554,79,0
1554,80,0.1
1554,90,0.1
1554,100,0.2
1554,110,0.2
1554,120,0.4
1554,160,0.8
1554,170,0.8
1554,180,0.9
1554,190,0.9
1554,200,1
1554,220,1
1554,230,1.1
1554,280,1.1
1554,290,1.2
1447,79,0
1447,80,0.1
1447,90,0.1
1447,100,0.2
1447,110,0.2
1447,120,0.4
1447,170,0.9
1447,180,0.9
1447,190,1
1447,210,1
1447,220,1.1
1447,240,1.1
1447,250,1.2
1447,310,1.2
1447,320,1.3
1187,79,0
1187,80,0.1
1187,90,0.1
1187,100,0.2
1187,110,0.2
1187,120,0.3
1187,140,0.3
1187,150,0.2
1187,210,0.2
1187,220,0.1
1516,79,0
1516,80,0.1
1516,90,0
1516,100,0.1
1516,110,0
1516,120,0.2
1516,140,0
